question_id,question_en,status,answer_zh,source_reference
Q11,What do recovery clocks add beyond 12-month return?,DESCRIPTIVELY_SUPPORTED_WITH_BOUNDARIES,恢复时钟直接回答“多久回到锚点”。例如 FIRST_CUT 的 anchor-to-full-recovery KM中位数：DXY 13m、Gold 22m、Nasdaq 15m、S&P 500 14m、WTI 20m。它与一年终点收益回答的是不同问题。,MASTER_ASSET_PHASE_MAP.csv: weighted_km_median_anchor_to_100_months
Q12,What can and cannot be said about TLT?,LIMITED_SAMPLE,TLT 当前每阶段只有3个episode/legs量级。FIRST_CUT 后12个月中位约 +15.1%，但 support_status 明确为 LIMITED_DESCRIPTIVE。可作为方向性历史描述，不能建立稳定周期规则。,MASTER_ASSET_PHASE_MAP.csv: TLT all phases
Q13,What can and cannot be said about VNQ?,LIMITED_SAMPLE,VNQ样本只有2-3个周期。PAUSE_START 后12个月中位约 +23.5%，FIRST_HIKE 后约 -17.8%，但均为 LIMITED_DESCRIPTIVE，不能把差异当稳定REIT规律。,MASTER_ASSET_PHASE_MAP.csv: VNQ all phases
Q14,What can and cannot be said about Bitcoin?,LIMITED_SAMPLE,BTC每阶段仅2个历史episode。PAUSE_START 12个月中位约 +116.7%，FIRST_HIKE 约 -38.4%。幅度很大，但样本极短，因此只能作为有限描述，不能据此定义“流动性资产定律”。,MASTER_ASSET_PHASE_MAP.csv: BTC_USD all phases
Q15,Why is housing a different clock from traded assets?,DESCRIPTIVELY_SUPPORTED_WITH_BOUNDARIES,US_HOUSE_PRICE 使用24个月慢变量框架而非12个月MDD。FIRST_CUT 后12/24个月价格中位变化约 +5.2% / +12.7%；其 path_risk_metric 是 DECLINE_24M。房价不能和股票MDD直接横向排名。,MASTER_ASSET_PHASE_MAP.csv: US_HOUSE_PRICE
Q16,Do Asian equity markets share one uniform Fed-cycle response?,DIAGNOSTIC_ONLY,没有统一路径。FIRST_CUT 后12个月诊断样本中：Hang Seng -8.7%、KOSPI +4.3%、Nikkei +9.6%、Shanghai Composite -28.7%。这些属于 DIAGNOSTIC_ASIA，说明区域异质性，而不是可部署规律。,MASTER_ASSET_PHASE_MAP.csv: DIAGNOSTIC_ASIA FIRST_CUT
Q17,Which apparent market rules are contradicted by the historical medians?,NOT_SUPPORTED_AS_SIMPLE_RULE,至少包括：开始加息=一年后美股必跌；暂停=现金carry立刻消失；第一次降息=市场已经见底；第一次降息=油价一定受益；一年后正收益=途中风险小。032将这些作为“简单规则不受支持”，不是反向交易信号。,CORE/RATES/STRESS atlases + 019/020
Q18,Which findings are strong enough for public education?,DESCRIPTIVELY_SUPPORTED_WITH_BOUNDARIES,五个 CORE_SUPPORTED 资产的四阶段历史中位分布、DGS2/DGS10与机械现金背景、BAA/VIX/铜的阶段压力统计，以及019/020的负面时钟结论，均可用于带样本/边界说明的公共教育内容。,021 master synthesis + 019/020
Q19,Which findings remain diagnostic or limited?,LIMITED_SAMPLE,BTC/TLT/VNQ维持 LIMITED_SAMPLE；Hang Seng/KOSPI/Nikkei/Shanghai 维持 DIAGNOSTIC_ONLY；房价虽为 supported slow-moving，但必须使用自己的24个月路径口径。不能把这些资产提升到五个核心资产相同的证据等级。,MASTER_ASSET_PHASE_MAP.csv support_status/scope_tier
Q20,What should PandaAI surface for each phase without making a recommendation?,DESCRIPTIVELY_SUPPORTED_WITH_BOUNDARIES,PandaAI应展示：phase label、五个核心资产的历史3M/6M/12M分布、MDD/低点月/恢复时钟、2Y/10Y变化、现金carry、压力层、support status和明确的not-forecast边界；不输出best asset、bottom date、expected return或交易动作。,021 PANDAAI reference + 032 atlas guardrails
