content_id,card_no,role,headline_zh,body_zh,figure_key,claim_ids,freshness_rule,source_boundary_required
CNT-02-SAME-LABEL-DIFFERENT-PATHS,4,EVIDENCE,2007：股票与黄金分化,S&P 500 -16.3%；Gold +24.8%。,FIG-CASE-B05,CLM-CASE-B03|CLM-CASE-B04|CLM-CASE-B05|CLM-CASE-B06|CLM-CASE-B07,STATIC_UNLESS_UPSTREAM_REBUILT,False
CNT-02-SAME-LABEL-DIFFERENT-PATHS,5,EVIDENCE,2019：后续又出现全新冲击,S&P 500 +12个月+11.0%。,FIG-CASE-B06,CLM-CASE-B03|CLM-CASE-B04|CLM-CASE-B05|CLM-CASE-B06|CLM-CASE-B07,STATIC_UNLESS_UPSTREAM_REBUILT,False
CNT-02-SAME-LABEL-DIFFERENT-PATHS,6,EVIDENCE,2024：又是一条不同路径,S&P 500 +12个月+20.2%。,FIG-CASE-B07,CLM-CASE-B03|CLM-CASE-B04|CLM-CASE-B05|CLM-CASE-B06|CLM-CASE-B07,STATIC_UNLESS_UPSTREAM_REBUILT,False
CNT-02-SAME-LABEL-DIFFERENT-PATHS,7,SOURCE_BOUNDARY,不要挑一个历史模板硬套今天,案例用于理解路径差异，不是给当前周期做单一历史模板排名。,,CLM-CASE-B03|CLM-CASE-B04|CLM-CASE-B05|CLM-CASE-B06|CLM-CASE-B07,STATIC_UNLESS_UPSTREAM_REBUILT,True
CNT-03-GOLD-VS-EQUITIES,1,COVER,黄金和美股会一起走吗？,同一个Fed阶段，不等于同一条资产路径。,,CLM-PHASE-GOLD-FIRST_CUT|CLM-PHASE-SP500-FIRST_CUT|CLM-PHASE-NASDAQ-FIRST_CUT|CLM-CASE-B04|CLM-CASE-B05|CLM-CASE-B06|CLM-CASE-B07,STATIC_UNLESS_UPSTREAM_REBUILT,False
CNT-03-GOLD-VS-EQUITIES,2,EVIDENCE,Gold 首降历史分布,+12个月+4.1%；MDD 5.4%。,FIG-PHASE-GOLD-FIRST_CUT,CLM-PHASE-GOLD-FIRST_CUT|CLM-PHASE-SP500-FIRST_CUT|CLM-PHASE-NASDAQ-FIRST_CUT|CLM-CASE-B04|CLM-CASE-B05|CLM-CASE-B06|CLM-CASE-B07,STATIC_UNLESS_UPSTREAM_REBUILT,False
CNT-03-GOLD-VS-EQUITIES,3,EVIDENCE,S&P 500 首降历史分布,+12个月+11.0%；MDD 14.0%。,FIG-PHASE-SP500-FIRST_CUT,CLM-PHASE-GOLD-FIRST_CUT|CLM-PHASE-SP500-FIRST_CUT|CLM-PHASE-NASDAQ-FIRST_CUT|CLM-CASE-B04|CLM-CASE-B05|CLM-CASE-B06|CLM-CASE-B07,STATIC_UNLESS_UPSTREAM_REBUILT,False
CNT-03-GOLD-VS-EQUITIES,4,EVIDENCE,Nasdaq 首降历史分布,+12个月+6.0%；MDD 17.5%。,FIG-PHASE-NASDAQ-FIRST_CUT,CLM-PHASE-GOLD-FIRST_CUT|CLM-PHASE-SP500-FIRST_CUT|CLM-PHASE-NASDAQ-FIRST_CUT|CLM-CASE-B04|CLM-CASE-B05|CLM-CASE-B06|CLM-CASE-B07,STATIC_UNLESS_UPSTREAM_REBUILT,False
CNT-03-GOLD-VS-EQUITIES,5,CASE,2001：Gold vs Nasdaq,+4.1% vs -25.6%。,FIG-CASE-B04,CLM-PHASE-GOLD-FIRST_CUT|CLM-PHASE-SP500-FIRST_CUT|CLM-PHASE-NASDAQ-FIRST_CUT|CLM-CASE-B04|CLM-CASE-B05|CLM-CASE-B06|CLM-CASE-B07,STATIC_UNLESS_UPSTREAM_REBUILT,False
CNT-03-GOLD-VS-EQUITIES,6,CASE,2007：Gold vs S&P,+24.8% vs -16.3%。,FIG-CASE-B05,CLM-PHASE-GOLD-FIRST_CUT|CLM-PHASE-SP500-FIRST_CUT|CLM-PHASE-NASDAQ-FIRST_CUT|CLM-CASE-B04|CLM-CASE-B05|CLM-CASE-B06|CLM-CASE-B07,STATIC_UNLESS_UPSTREAM_REBUILT,False
CNT-03-GOLD-VS-EQUITIES,7,SOURCE_BOUNDARY,跨资产比较 ≠ 资产排名,历史路径分化不等于当前配置建议。,,CLM-PHASE-GOLD-FIRST_CUT|CLM-PHASE-SP500-FIRST_CUT|CLM-PHASE-NASDAQ-FIRST_CUT|CLM-CASE-B04|CLM-CASE-B05|CLM-CASE-B06|CLM-CASE-B07,STATIC_UNLESS_UPSTREAM_REBUILT,True
CNT-04-HINDSIGHT-TRAPS,1,COVER,历史研究最大的陷阱：后见之明,后来知道的事，不能倒灌进当时。,,CLM-CTX-B04_CTX_02|CLM-CTX-B04_CTX_03|CLM-CTX-B05_CTX_03|CLM-CTX-B06_CTX_02|CLM-CTX-B06_CTX_03|CLM-CTX-B07_CTX_02,REVERIFY_BEFORE_CURRENT_USE,False
CNT-04-HINDSIGHT-TRAPS,2,EVIDENCE,2001衰退定年,2001年3月峰值是后来NBER事后认定；1月首降时并未知晓。,FIG-CTX-B04_CTX_02,CLM-CTX-B04_CTX_02|CLM-CTX-B04_CTX_03|CLM-CTX-B05_CTX_03|CLM-CTX-B06_CTX_02|CLM-CTX-B06_CTX_03|CLM-CTX-B07_CTX_02,REVERIFY_BEFORE_CURRENT_USE,False
CNT-04-HINDSIGHT-TRAPS,3,EVIDENCE,9·11,发生在2001年1月首降之后，是POST_ANCHOR_SHOCK。,FIG-CTX-B04_CTX_03,CLM-CTX-B04_CTX_02|CLM-CTX-B04_CTX_03|CLM-CTX-B05_CTX_03|CLM-CTX-B06_CTX_02|CLM-CTX-B06_CTX_03|CLM-CTX-B07_CTX_02,REVERIFY_BEFORE_CURRENT_USE,False
CNT-04-HINDSIGHT-TRAPS,4,EVIDENCE,2007衰退定年,2007年12月峰值是后来官方定年，不是9月首降时的已知标签。,FIG-CTX-B05_CTX_03,CLM-CTX-B04_CTX_02|CLM-CTX-B04_CTX_03|CLM-CTX-B05_CTX_03|CLM-CTX-B06_CTX_02|CLM-CTX-B06_CTX_03|CLM-CTX-B07_CTX_02,REVERIFY_BEFORE_CURRENT_USE,False
CNT-04-HINDSIGHT-TRAPS,5,EVIDENCE,2020衰退定年,2019年7月首降时，2020衰退日期尚未发生、也未被官方认定。,FIG-CTX-B06_CTX_02,CLM-CTX-B04_CTX_02|CLM-CTX-B04_CTX_03|CLM-CTX-B05_CTX_03|CLM-CTX-B06_CTX_02|CLM-CTX-B06_CTX_03|CLM-CTX-B07_CTX_02,REVERIFY_BEFORE_CURRENT_USE,False
CNT-04-HINDSIGHT-TRAPS,6,EVIDENCE,COVID,是2019年首降之后的新冲击，不能改写成当时的降息理由。,FIG-CTX-B06_CTX_03,CLM-CTX-B04_CTX_02|CLM-CTX-B04_CTX_03|CLM-CTX-B05_CTX_03|CLM-CTX-B06_CTX_02|CLM-CTX-B06_CTX_03|CLM-CTX-B07_CTX_02,REVERIFY_BEFORE_CURRENT_USE,False
CNT-04-HINDSIGHT-TRAPS,7,SOURCE_BOUNDARY,时间戳也是证据,区分当时可知、事后定年、后续冲击；不是当前衰退预测。,,CLM-CTX-B04_CTX_02|CLM-CTX-B04_CTX_03|CLM-CTX-B05_CTX_03|CLM-CTX-B06_CTX_02|CLM-CTX-B06_CTX_03|CLM-CTX-B07_CTX_02,REVERIFY_BEFORE_CURRENT_USE,True
CNT-05-RECOVERY-CLOCK,1,COVER,只看一年后涨跌，为什么不够？,真正影响持有体验的是路径和恢复时钟。,,CLM-SYNTH-017-FIRSTCUT-RECOVERY|CLM-PHASE-DXY-FIRST_CUT|CLM-PHASE-GOLD-FIRST_CUT|CLM-PHASE-NASDAQ-FIRST_CUT|CLM-PHASE-SP500-FIRST_CUT|CLM-PHASE-WTI-FIRST_CUT,STATIC_UNLESS_UPSTREAM_REBUILT,False
CNT-05-RECOVERY-CLOCK,2,EVIDENCE,S&P 500：终点 vs MDD,+12个月+11.0%；MDD 14.0%。,FIG-PHASE-SP500-FIRST_CUT,CLM-SYNTH-017-FIRSTCUT-RECOVERY|CLM-PHASE-DXY-FIRST_CUT|CLM-PHASE-GOLD-FIRST_CUT|CLM-PHASE-NASDAQ-FIRST_CUT|CLM-PHASE-SP500-FIRST_CUT|CLM-PHASE-WTI-FIRST_CUT,STATIC_UNLESS_UPSTREAM_REBUILT,False
CNT-05-RECOVERY-CLOCK,3,EVIDENCE,Nasdaq：终点 vs MDD,+12个月+6.0%；MDD 17.5%。,FIG-PHASE-NASDAQ-FIRST_CUT,CLM-SYNTH-017-FIRSTCUT-RECOVERY|CLM-PHASE-DXY-FIRST_CUT|CLM-PHASE-GOLD-FIRST_CUT|CLM-PHASE-NASDAQ-FIRST_CUT|CLM-PHASE-SP500-FIRST_CUT|CLM-PHASE-WTI-FIRST_CUT,STATIC_UNLESS_UPSTREAM_REBUILT,False
CNT-05-RECOVERY-CLOCK,4,EVIDENCE,Gold：完全恢复时钟,锚点到完全恢复KM中位数：22个月。,FIG-PHASE-GOLD-FIRST_CUT,CLM-SYNTH-017-FIRSTCUT-RECOVERY|CLM-PHASE-DXY-FIRST_CUT|CLM-PHASE-GOLD-FIRST_CUT|CLM-PHASE-NASDAQ-FIRST_CUT|CLM-PHASE-SP500-FIRST_CUT|CLM-PHASE-WTI-FIRST_CUT,STATIC_UNLESS_UPSTREAM_REBUILT,False
CNT-05-RECOVERY-CLOCK,5,EVIDENCE,WTI：完全恢复时钟,锚点到完全恢复KM中位数：20个月。,FIG-PHASE-WTI-FIRST_CUT,CLM-SYNTH-017-FIRSTCUT-RECOVERY|CLM-PHASE-DXY-FIRST_CUT|CLM-PHASE-GOLD-FIRST_CUT|CLM-PHASE-NASDAQ-FIRST_CUT|CLM-PHASE-SP500-FIRST_CUT|CLM-PHASE-WTI-FIRST_CUT,STATIC_UNLESS_UPSTREAM_REBUILT,False
CNT-05-RECOVERY-CLOCK,6,SYNTHESIS,FIRST_CUT vs PAUSE,五个完整支持资产：3慢、2同、0快。,FIG-RECOVERY-FIRSTCUT-VS-PAUSE,CLM-SYNTH-017-FIRSTCUT-RECOVERY|CLM-PHASE-DXY-FIRST_CUT|CLM-PHASE-GOLD-FIRST_CUT|CLM-PHASE-NASDAQ-FIRST_CUT|CLM-PHASE-SP500-FIRST_CUT|CLM-PHASE-WTI-FIRST_CUT,STATIC_UNLESS_UPSTREAM_REBUILT,False
CNT-05-RECOVERY-CLOCK,7,SOURCE_BOUNDARY,三个风险对象要分开,终点收益、途中回撤、完全恢复时间都不是未来预测。,,CLM-SYNTH-017-FIRSTCUT-RECOVERY|CLM-PHASE-DXY-FIRST_CUT|CLM-PHASE-GOLD-FIRST_CUT|CLM-PHASE-NASDAQ-FIRST_CUT|CLM-PHASE-SP500-FIRST_CUT|CLM-PHASE-WTI-FIRST_CUT,STATIC_UNLESS_UPSTREAM_REBUILT,True
CNT-06-1987-MULTI-LEG,1,COVER,1987–1989不是一个标准单周期,先把政策腿和事件边界划对。,,CLM-CASE-B02|CLM-CTX-B02_CTX_01|CLM-CTX-B02_CTX_02|CLM-CTX-B02_CTX_03,STATIC_SOURCE_AUDIT,False
CNT-06-1987-MULTI-LEG,2,STRUCTURE,三个机械子周期,T03_1987、T04_1987、T05_1988分别保留。,FIG-CASE-B02,CLM-CASE-B02|CLM-CTX-B02_CTX_01|CLM-CTX-B02_CTX_02|CLM-CTX-B02_CTX_03,STATIC_SOURCE_AUDIT,False
CNT-06-1987-MULTI-LEG,3,CONTEXT,Black Monday的位置,1987-10-19发生在这些政策子周期之间。,FIG-CASE-B02,CLM-CASE-B02|CLM-CTX-B02_CTX_01|CLM-CTX-B02_CTX_02|CLM-CTX-B02_CTX_03,STATIC_SOURCE_AUDIT,False
CNT-06-1987-MULTI-LEG,4,CONTEXT,Fed流动性支持,这是金融稳定语境，不能等同于资产底部信号。,FIG-CASE-B02,CLM-CASE-B02|CLM-CTX-B02_CTX_01|CLM-CTX-B02_CTX_02|CLM-CTX-B02_CTX_03,STATIC_SOURCE_AUDIT,False
CNT-06-1987-MULTI-LEG,5,METHOD,为什么不能合成一条线,不同政策腿和市场冲击会被错误混在一起。,FIG-CASE-B02,CLM-CASE-B02|CLM-CTX-B02_CTX_01|CLM-CTX-B02_CTX_02|CLM-CTX-B02_CTX_03,STATIC_SOURCE_AUDIT,False
CNT-06-1987-MULTI-LEG,6,SYNTHESIS,周期边界本身就是研究的一部分,先定义清楚事件，再比较资产。,FIG-CASE-B02,CLM-CASE-B02|CLM-CTX-B02_CTX_01|CLM-CTX-B02_CTX_02|CLM-CTX-B02_CTX_03,STATIC_SOURCE_AUDIT,False
CNT-06-1987-MULTI-LEG,7,SOURCE_BOUNDARY,不是当前类比模板,历史结构说明，不是对当前Fed周期的预测。,,CLM-CASE-B02|CLM-CTX-B02_CTX_01|CLM-CTX-B02_CTX_02|CLM-CTX-B02_CTX_03,STATIC_SOURCE_AUDIT,True
