content_id,channel,primary_title_zh,selected_hook_zh,claim_ids,available_figure_keys,freshness_rule,mandatory_caveat,prohibited_wording,causal_status,deployment_status,content_basis,visual_variant,layout_plan,source_placement,caveat_placement,platform_status
CNT-04-HINDSIGHT-TRAPS,WECHAT_LONGFORM,研究历史周期最容易犯的错：把后来才知道的事，假装成当时已经知道,2001年1月第一次降息时，后来被NBER认定的衰退起点还没有发生，更没有被官方确认。,CLM-CTX-B04_CTX_02|CLM-CTX-B04_CTX_03|CLM-CTX-B05_CTX_03|CLM-CTX-B06_CTX_02|CLM-CTX-B06_CTX_03|CLM-CTX-B07_CTX_02,FIG-CASE-B04|FIG-CASE-B05|FIG-CASE-B06|FIG-CASE-B07,REVERIFY_BEFORE_CURRENT_USE,历史研究/教育内容；不构成当前市场预测、资产排序、底部时间判断或投资建议。,不得改写为必涨/必跌、确定性底部、最像当前的历史周期、最佳资产或因果性Fed结论。,NONE,NOT_DEPLOYABLE,026 long-form outline,SVG_RESEARCH|PNG_16_9,question -> evidence framework -> figures/cases -> limitations -> source appendix,inline figure provenance + appendix,method/limitations section + conclusion,CANONICAL_LONGFORM_INPUTS_READY
CNT-04-HINDSIGHT-TRAPS,PANDAAI_EXPLANATION,研究历史周期最容易犯的错：把后来才知道的事，假装成当时已经知道,2001年1月第一次降息时，后来被NBER认定的衰退起点还没有发生，更没有被官方确认。,CLM-CTX-B04_CTX_02|CLM-CTX-B04_CTX_03|CLM-CTX-B05_CTX_03|CLM-CTX-B06_CTX_02|CLM-CTX-B06_CTX_03|CLM-CTX-B07_CTX_02,FIG-CASE-B04|FIG-CASE-B05|FIG-CASE-B06|FIG-CASE-B07,REVERIFY_BEFORE_CURRENT_USE,历史研究/教育内容；不构成当前市场预测、资产排序、底部时间判断或投资建议。,不得改写为必涨/必跌、确定性底部、最像当前的历史周期、最佳资产或因果性Fed结论。,NONE,NOT_DEPLOYABLE,026 machine-readable content object + CLAIM_ID/FIGURE_KEY retrieval,SVG_RESEARCH|PNG_1_1,answer -> evidence claims -> optional figure refs -> freshness/uncertainty -> boundary,machine-readable claim/source metadata,response evidence-boundary field,CANONICAL_AGENT_INPUTS_READY
CNT-05-RECOVERY-CLOCK,DOUYIN_TIKTOK_SHORT,只看一年后涨跌还不够：真正影响持有体验的是“恢复时钟”,一年后是正收益，不代表中间没有经历很深的回撤。,CLM-SYNTH-017-FIRSTCUT-RECOVERY|CLM-PHASE-DXY-FIRST_CUT|CLM-PHASE-GOLD-FIRST_CUT|CLM-PHASE-NASDAQ-FIRST_CUT|CLM-PHASE-SP500-FIRST_CUT|CLM-PHASE-WTI-FIRST_CUT,FIG-RECOVERY-FIRSTCUT-VS-PAUSE|FIG-PHASE-DXY-FIRST_CUT|FIG-PHASE-GOLD-FIRST_CUT|FIG-PHASE-NASDAQ-FIRST_CUT|FIG-PHASE-SP500-FIRST_CUT|FIG-PHASE-WTI-FIRST_CUT,STATIC_UNLESS_UPSTREAM_REBUILT,历史研究/教育内容；不构成当前市场预测、资产排序、底部时间判断或投资建议。,不得改写为必涨/必跌、确定性底部、最像当前的历史周期、最佳资产或因果性Fed结论。,NONE,NOT_DEPLOYABLE,026 60-90 second script,PNG_16_9_AS_EVIDENCE_INSERT,9:16 video composition external to 027; insert 16:9 evidence panels without cropping away figure footer,caption/pinned comment or closing source card,closing card + caption,SCRIPT_AND_EVIDENCE_READY__9X16_COMPOSITE_NOT_RENDERED
CNT-05-RECOVERY-CLOCK,XIAOHONGSHU_CAROUSEL,只看一年后涨跌还不够：真正影响持有体验的是“恢复时钟”,一年后是正收益，不代表中间没有经历很深的回撤。,CLM-SYNTH-017-FIRSTCUT-RECOVERY|CLM-PHASE-DXY-FIRST_CUT|CLM-PHASE-GOLD-FIRST_CUT|CLM-PHASE-NASDAQ-FIRST_CUT|CLM-PHASE-SP500-FIRST_CUT|CLM-PHASE-WTI-FIRST_CUT,FIG-RECOVERY-FIRSTCUT-VS-PAUSE|FIG-PHASE-DXY-FIRST_CUT|FIG-PHASE-GOLD-FIRST_CUT|FIG-PHASE-NASDAQ-FIRST_CUT|FIG-PHASE-SP500-FIRST_CUT|FIG-PHASE-WTI-FIRST_CUT,STATIC_UNLESS_UPSTREAM_REBUILT,历史研究/教育内容；不构成当前市场预测、资产排序、底部时间判断或投资建议。,不得改写为必涨/必跌、确定性底部、最像当前的历史周期、最佳资产或因果性Fed结论。,NONE,NOT_DEPLOYABLE,026 title/hooks + long-form evidence order,PNG_1_1,5-9 cards: question cover -> 3-6 evidence cards -> boundary/source card,final card + post body,final card,CANONICAL_CAROUSEL_INPUTS_READY
CNT-05-RECOVERY-CLOCK,WECHAT_LONGFORM,只看一年后涨跌还不够：真正影响持有体验的是“恢复时钟”,一年后是正收益，不代表中间没有经历很深的回撤。,CLM-SYNTH-017-FIRSTCUT-RECOVERY|CLM-PHASE-DXY-FIRST_CUT|CLM-PHASE-GOLD-FIRST_CUT|CLM-PHASE-NASDAQ-FIRST_CUT|CLM-PHASE-SP500-FIRST_CUT|CLM-PHASE-WTI-FIRST_CUT,FIG-RECOVERY-FIRSTCUT-VS-PAUSE|FIG-PHASE-DXY-FIRST_CUT|FIG-PHASE-GOLD-FIRST_CUT|FIG-PHASE-NASDAQ-FIRST_CUT|FIG-PHASE-SP500-FIRST_CUT|FIG-PHASE-WTI-FIRST_CUT,STATIC_UNLESS_UPSTREAM_REBUILT,历史研究/教育内容；不构成当前市场预测、资产排序、底部时间判断或投资建议。,不得改写为必涨/必跌、确定性底部、最像当前的历史周期、最佳资产或因果性Fed结论。,NONE,NOT_DEPLOYABLE,026 long-form outline,SVG_RESEARCH|PNG_16_9,question -> evidence framework -> figures/cases -> limitations -> source appendix,inline figure provenance + appendix,method/limitations section + conclusion,CANONICAL_LONGFORM_INPUTS_READY
CNT-05-RECOVERY-CLOCK,PANDAAI_EXPLANATION,只看一年后涨跌还不够：真正影响持有体验的是“恢复时钟”,一年后是正收益，不代表中间没有经历很深的回撤。,CLM-SYNTH-017-FIRSTCUT-RECOVERY|CLM-PHASE-DXY-FIRST_CUT|CLM-PHASE-GOLD-FIRST_CUT|CLM-PHASE-NASDAQ-FIRST_CUT|CLM-PHASE-SP500-FIRST_CUT|CLM-PHASE-WTI-FIRST_CUT,FIG-RECOVERY-FIRSTCUT-VS-PAUSE|FIG-PHASE-DXY-FIRST_CUT|FIG-PHASE-GOLD-FIRST_CUT|FIG-PHASE-NASDAQ-FIRST_CUT|FIG-PHASE-SP500-FIRST_CUT|FIG-PHASE-WTI-FIRST_CUT,STATIC_UNLESS_UPSTREAM_REBUILT,历史研究/教育内容；不构成当前市场预测、资产排序、底部时间判断或投资建议。,不得改写为必涨/必跌、确定性底部、最像当前的历史周期、最佳资产或因果性Fed结论。,NONE,NOT_DEPLOYABLE,026 machine-readable content object + CLAIM_ID/FIGURE_KEY retrieval,SVG_RESEARCH|PNG_1_1,answer -> evidence claims -> optional figure refs -> freshness/uncertainty -> boundary,machine-readable claim/source metadata,response evidence-boundary field,CANONICAL_AGENT_INPUTS_READY
CNT-06-1987-MULTI-LEG,DOUYIN_TIKTOK_SHORT,为什么1987—1989不能被压成“一次标准加息周期”？,1987—1989不是一条干净的“加息—暂停—降息”直线，而是三个机械子周期。,CLM-CASE-B02|CLM-CTX-B02_CTX_01|CLM-CTX-B02_CTX_02|CLM-CTX-B02_CTX_03,FIG-CASE-B02,STATIC_SOURCE_AUDIT,历史研究/教育内容；不构成当前市场预测、资产排序、底部时间判断或投资建议。,不得改写为必涨/必跌、确定性底部、最像当前的历史周期、最佳资产或因果性Fed结论。,NONE,NOT_DEPLOYABLE,026 60-90 second script,PNG_16_9_AS_EVIDENCE_INSERT,9:16 video composition external to 027; insert 16:9 evidence panels without cropping away figure footer,caption/pinned comment or closing source card,closing card + caption,SCRIPT_AND_EVIDENCE_READY__9X16_COMPOSITE_NOT_RENDERED
CNT-06-1987-MULTI-LEG,XIAOHONGSHU_CAROUSEL,为什么1987—1989不能被压成“一次标准加息周期”？,1987—1989不是一条干净的“加息—暂停—降息”直线，而是三个机械子周期。,CLM-CASE-B02|CLM-CTX-B02_CTX_01|CLM-CTX-B02_CTX_02|CLM-CTX-B02_CTX_03,FIG-CASE-B02,STATIC_SOURCE_AUDIT,历史研究/教育内容；不构成当前市场预测、资产排序、底部时间判断或投资建议。,不得改写为必涨/必跌、确定性底部、最像当前的历史周期、最佳资产或因果性Fed结论。,NONE,NOT_DEPLOYABLE,026 title/hooks + long-form evidence order,PNG_1_1,5-9 cards: question cover -> 3-6 evidence cards -> boundary/source card,final card + post body,final card,CANONICAL_CAROUSEL_INPUTS_READY
CNT-06-1987-MULTI-LEG,WECHAT_LONGFORM,为什么1987—1989不能被压成“一次标准加息周期”？,1987—1989不是一条干净的“加息—暂停—降息”直线，而是三个机械子周期。,CLM-CASE-B02|CLM-CTX-B02_CTX_01|CLM-CTX-B02_CTX_02|CLM-CTX-B02_CTX_03,FIG-CASE-B02,STATIC_SOURCE_AUDIT,历史研究/教育内容；不构成当前市场预测、资产排序、底部时间判断或投资建议。,不得改写为必涨/必跌、确定性底部、最像当前的历史周期、最佳资产或因果性Fed结论。,NONE,NOT_DEPLOYABLE,026 long-form outline,SVG_RESEARCH|PNG_16_9,question -> evidence framework -> figures/cases -> limitations -> source appendix,inline figure provenance + appendix,method/limitations section + conclusion,CANONICAL_LONGFORM_INPUTS_READY
CNT-06-1987-MULTI-LEG,PANDAAI_EXPLANATION,为什么1987—1989不能被压成“一次标准加息周期”？,1987—1989不是一条干净的“加息—暂停—降息”直线，而是三个机械子周期。,CLM-CASE-B02|CLM-CTX-B02_CTX_01|CLM-CTX-B02_CTX_02|CLM-CTX-B02_CTX_03,FIG-CASE-B02,STATIC_SOURCE_AUDIT,历史研究/教育内容；不构成当前市场预测、资产排序、底部时间判断或投资建议。,不得改写为必涨/必跌、确定性底部、最像当前的历史周期、最佳资产或因果性Fed结论。,NONE,NOT_DEPLOYABLE,026 machine-readable content object + CLAIM_ID/FIGURE_KEY retrieval,SVG_RESEARCH|PNG_1_1,answer -> evidence claims -> optional figure refs -> freshness/uncertainty -> boundary,machine-readable claim/source metadata,response evidence-boundary field,CANONICAL_AGENT_INPUTS_READY
